x,y,u,v,p
2.50000000e-02,1.25000000e-02,8.44042455e-01,7.79787724e-02,1.31179222e+00
7.50000000e-02,1.25000000e-02,5.71805140e-01,5.81398842e-02,1.31179222e+00
1.25000000e-01,1.25000000e-02,3.89880155e-01,3.28226071e-02,1.11816479e+00
1.75000000e-01,1.25000000e-02,2.88559048e-01,1.78379470e-02,1.01571258e+00
2.25000000e-01,1.25000000e-02,2.32227133e-01,1.03280124e-02,9.58007668e-01
2.75000000e-01,1.25000000e-02,1.98393790e-01,6.58866140e-03,9.20940827e-01
3.25000000e-01,1.25000000e-02,1.76084192e-01,4.56613938e-03,8.93980984e-01
3.75000000e-01,1.25000000e-02,1.60247949e-01,3.35198295e-03,8.72516307e-01
4.25000000e-01,1.25000000e-02,1.48425790e-01,2.55909721e-03,8.54339614e-01
4.75000000e-01,1.25000000e-02,1.39287249e-01,2.01017391e-03,8.38276222e-01
5.25000000e-01,1.25000000e-02,1.32038044e-01,1.61442937e-03,8.23644836e-01
5.75000000e-01,1.25000000e-02,1.26168144e-01,1.32052242e-03,8.10025615e-01
6.25000000e-01,1.25000000e-02,1.21332733e-01,1.09718436e-03,7.97148663e-01
6.75000000e-01,1.25000000e-02,1.17289743e-01,9.24310833e-04,7.84835069e-01
7.25000000e-01,1.25000000e-02,1.13864286e-01,7.88417567e-04,7.72963419e-01
7.75000000e-01,1.25000000e-02,1.10927126e-01,6.80163361e-04,7.61449709e-01
8.25000000e-01,1.25000000e-02,1.08381018e-01,5.92892674e-04,7.50234833e-01
8.75000000e-01,1.25000000e-02,1.06151694e-01,5.21770663e-04,7.39276489e-01
9.25000000e-01,1.25000000e-02,1.04181731e-01,4.63211758e-04,7.28543885e-01
9.75000000e-01,1.25000000e-02,1.02426254e-01,4.14528539e-04,7.18014123e-01
1.02500000e+00,1.25000000e-02,1.00849858e-01,3.73671036e-04,7.07669814e-01
1.07500000e+00,1.25000000e-02,9.94243699e-02,3.39073537e-04,6.97497364e-01
1.12500000e+00,1.25000000e-02,9.81271914e-02,3.09517098e-04,6.87485869e-01
1.17500000e+00,1.25000000e-02,9.69400516e-02,2.84053530e-04,6.77626291e-01
1.22500000e+00,1.25000000e-02,9.58480690e-02,2.61939824e-04,6.67910921e-01
1.27500000e+00,1.25000000e-02,9.48390295e-02,2.42581969e-04,6.58333014e-01
1.32500000e+00,1.25000000e-02,9.39028337e-02,2.25517719e-04,6.48886499e-01
1.37500000e+00,1.25000000e-02,9.30310693e-02,2.10366082e-04,6.39565845e-01
1.42500000e+00,1.25000000e-02,9.22166732e-02,1.96830503e-04,6.30365897e-01
1.47500000e+00,1.25000000e-02,9.14536777e-02,1.84666904e-04,6.21281828e-01
1.52500000e+00,1.25000000e-02,9.07369978e-02,1.73673187e-04,6.12309067e-01
1.57500000e+00,1.25000000e-02,9.00622708e-02,1.63690798e-04,6.03443265e-01
1.62500000e+00,1.25000000e-02,8.94257303e-02,1.54579680e-04,5.94680283e-01
1.67500000e+00,1.25000000e-02,8.88240991e-02,1.46233005e-04,5.86016149e-01
1.72500000e+00,1.25000000e-02,8.82545139e-02,1.38556655e-04,5.77447074e-01
1.77500000e+00,1.25000000e-02,8.77144507e-02,1.31471131e-04,5.68969417e-01
1.82500000e+00,1.25000000e-02,8.72016767e-02,1.24912503e-04,5.60579702e-01
1.87500000e+00,1.25000000e-02,8.67142067e-02,1.18820662e-04,5.52274592e-01
1.92500000e+00,1.25000000e-02,8.62502627e-02,1.13151183e-04,5.44050885e-01
1.97500000e+00,1.25000000e-02,8.58082512e-02,1.07857031e-04,5.35905534e-01
